epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,10.0901,0.58166,0.88333,1,0.26313,0.000515976,0.000515976,0.000515976
2,17.1842,0.25962,0.94167,1,0.16304,0.00105042,0.00105042,0.00105042
3,24.0667,0.2382,0.91667,1,0.17729,0.00156287,0.00156287,0.00156287
4,30.6043,0.23488,0.9,1,0.29282,0.00156798,0.00156798,0.00156798
5,37.2778,0.21793,0.89167,1,0.2764,0.00153497,0.00153497,0.00153497
6,44.1634,0.22624,0.91667,1,0.1396,0.00150197,0.00150197,0.00150197
7,51.0609,0.22725,0.89167,1,0.76219,0.00146896,0.00146896,0.00146896
8,57.1637,0.22302,0.95833,1,0.18416,0.00143595,0.00143595,0.00143595
9,64.0352,0.20448,0.91667,1,0.26949,0.00140295,0.00140295,0.00140295
10,70.2538,0.1627,0.95,1,0.1023,0.00136994,0.00136994,0.00136994
11,77.1677,0.10363,0.93333,1,0.17364,0.00133693,0.00133693,0.00133693
12,84.0555,0.12581,0.925,1,0.18319,0.00130393,0.00130393,0.00130393
13,90.7757,0.12238,0.91667,1,0.29096,0.00127092,0.00127092,0.00127092
14,98.0637,0.14828,0.875,1,0.31977,0.00123791,0.00123791,0.00123791
15,105.159,0.22951,0.94167,1,0.16733,0.00120491,0.00120491,0.00120491
16,111.827,0.1326,0.91667,1,0.19045,0.0011719,0.0011719,0.0011719
17,118.638,0.1833,0.95,1,0.13188,0.00113889,0.00113889,0.00113889
18,125.213,0.09705,0.95,1,0.13968,0.00110589,0.00110589,0.00110589
19,131.466,0.17052,0.95,1,0.131,0.00107288,0.00107288,0.00107288
20,138.207,0.1499,0.96667,1,0.14594,0.00103987,0.00103987,0.00103987
21,144.499,0.20308,0.94167,1,0.18672,0.00100687,0.00100687,0.00100687
22,151.61,0.23179,0.94167,1,0.15743,0.000973861,0.000973861,0.000973861
23,158.044,0.15882,0.95833,1,0.10666,0.000940855,0.000940855,0.000940855
24,165.094,0.11581,0.95,1,0.09693,0.000907848,0.000907848,0.000907848
25,171.902,0.07691,0.95,1,0.15167,0.000874842,0.000874842,0.000874842
26,179.351,0.0678,0.96667,1,0.13207,0.000841835,0.000841835,0.000841835
27,186.268,0.1139,0.96667,1,0.09551,0.000808828,0.000808828,0.000808828
28,193.353,0.11974,0.94167,1,0.11827,0.000775822,0.000775822,0.000775822
29,200.071,0.0466,0.93333,1,0.1803,0.000742815,0.000742815,0.000742815
30,207.381,0.1877,0.95833,1,0.12671,0.000709809,0.000709809,0.000709809
31,213.988,0.07316,0.925,1,0.13257,0.000676802,0.000676802,0.000676802
32,221.178,0.06942,0.925,1,0.1236,0.000643795,0.000643795,0.000643795
33,228.351,0.07714,0.94167,1,0.13454,0.000610789,0.000610789,0.000610789
34,235.394,0.19605,0.96667,1,0.0813,0.000577782,0.000577782,0.000577782
35,242.068,0.04347,0.975,1,0.11543,0.000544776,0.000544776,0.000544776
36,249.748,0.19292,0.975,1,0.09118,0.000511769,0.000511769,0.000511769
37,257.152,0.03646,0.975,1,0.09798,0.000478762,0.000478762,0.000478762
38,264.735,0.13468,0.96667,1,0.08568,0.000445756,0.000445756,0.000445756
39,271.562,0.11519,0.975,1,0.06704,0.000412749,0.000412749,0.000412749
40,278.581,0.06105,0.96667,1,0.06254,0.000379743,0.000379743,0.000379743
41,285.251,0.05662,0.95833,1,0.10913,0.000346736,0.000346736,0.000346736
42,292.635,0.06729,0.95833,1,0.09658,0.000313729,0.000313729,0.000313729
43,299.825,0.05515,0.96667,1,0.07674,0.000280723,0.000280723,0.000280723
44,306.043,0.06637,0.975,1,0.07733,0.000247716,0.000247716,0.000247716
45,312.315,0.04247,0.975,1,0.07154,0.00021471,0.00021471,0.00021471
46,320.124,0.03899,0.96667,1,0.06652,0.000181703,0.000181703,0.000181703
47,327.465,0.07307,0.96667,1,0.06857,0.000148696,0.000148696,0.000148696
48,334.403,0.03741,0.96667,1,0.06929,0.00011569,0.00011569,0.00011569
49,340.909,0.02931,0.975,1,0.0672,8.26832e-05,8.26832e-05,8.26832e-05
50,348.36,0.04781,0.975,1,0.06623,4.96766e-05,4.96766e-05,4.96766e-05
